study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,StudyText.started,Studyslider.started,Studyslider.response,Studyslider.rt,TestText_2.started,test_textbox_2.started,submit_text_2.started,testmouse_2.started,test_textbox_2.text,testmouse_2.x,testmouse_2.y,testmouse_2.leftButton,testmouse_2.midButton,testmouse_2.rightButton,testmouse_2.time,testmouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
Chart,,,,0,0,0,6,,,,,12.2379546,12.2379546,1,2.0148307,,,,,,,,,,,,,582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
Phone,,,,0,1,1,2,,,,,14.2888903,14.2888903,1,1.2409027,,,,,,,,,,,,,582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
Mouse,,,,0,2,2,8,,,,,15.5637474,15.5637474,1,1.1943635,,,,,,,,,,,,,582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
Laptop,,,,0,3,3,5,,,,,16.7972757,16.7972757,1,1.1105315,,,,,,,,,,,,,582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
Pastry,,,,0,4,4,9,,,,,17.9450614,17.9450614,1,1.1059766,,,,,,,,,,,,,582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
Case,,,,0,5,5,10,,,,,19.0834007,19.0834007,1,1.0397702,,,,,,,,,,,,,582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
Book,,,,0,6,6,0,,,,,20.1527152,20.1527152,1,1.0509647,,,,,,,,,,,,,582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
Cushion,,,,0,7,7,1,,,,,21.2347319,21.2347319,1,1.085648,,,,,,,,,,,,,582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
T-shirt,,,,0,8,8,7,,,,,22.3529033,22.3529033,1,0.9569951,,,,,,,,,,,,,582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
Board,,,,0,9,9,4,,,,,23.344422,23.344422,1,0.8607228,,,,,,,,,,,,,582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
